added_at,submitted_by,name,start_date,start_time,end_date,end_time,location,description,category,organizer,email,phone,price,image,link_1,link_2,link_3,link_4,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32
22/07/2025 10:32,pxopulse+ocr@gmail.com,Arraial SSS - Missa,25/7/2025,20:00,25/7/2025,,Capela do Espírito Santo,Missa de abertura das festividades do Arraial SSS.,Comunidade & Cultura,Paróquia do Espírito Santo,,,Gratuito,5a0114c6-7706-4c07-ade6-9c37fde631a9,,,,,,,,,,,,,,,,,
22/07/2025 10:32,pxopulse+ocr@gmail.com,Arraial SSS - Abertura das Festas,25/7/2025,21:00,25/7/2025,,Campo de Baixo,Abertura oficial das festividades do Arraial SSS.,Comunidade & Cultura,Paróquia do Espírito Santo,,,Gratuito,5a0114c6-7706-4c07-ade6-9c37fde631a9,,,,,,,,,,,,,,,,,
22/07/2025 10:32,pxopulse+ocr@gmail.com,Arraial SSS - Atuação do Grupo de Folclore do Porto Santo,25/7/2025,21:30,25/7/2025,,Campo de Baixo,Atuação do grupo de folclore local do Porto Santo.,Comunidade & Cultura,Paróquia do Espírito Santo,,,Gratuito,5a0114c6-7706-4c07-ade6-9c37fde631a9,,,,,,,,,,,,,,,,,
22/07/2025 10:32,pxopulse+ocr@gmail.com,Arraial SSS - Concerto de Sónia Soares,25/7/2025,22:30,25/7/2025,,Campo de Baixo,Concerto musical com Sónia Soares.,Música,Paróquia do Espírito Santo,,,Gratuito,5a0114c6-7706-4c07-ade6-9c37fde631a9,,,,,,,,,,,,,,,,,
22/07/2025 10:32,pxopulse+ocr@gmail.com,Arraial SSS - Concerto de Sílvio Resende,25/7/2025,23:45,25/7/2025,,Campo de Baixo,Concerto musical com Sílvio Resende.,Música,Paróquia do Espírito Santo,,,Gratuito,5a0114c6-7706-4c07-ade6-9c37fde631a9,,,,,,,,,,,,,,,,,
22/07/2025 10:32,pxopulse+ocr@gmail.com,Arraial SSS - Novena,26/7/2025,20:30,26/7/2025,,Capela do Espírito Santo,Celebração da Novena no âmbito do Arraial SSS.,Comunidade & Cultura,Paróquia do Espírito Santo,,,Gratuito,5a0114c6-7706-4c07-ade6-9c37fde631a9,,,,,,,,,,,,,,,,,
22/07/2025 10:32,pxopulse+ocr@gmail.com,Arraial SSS - Concerto de Os Amigos do Cantar,26/7/2025,22:00,26/7/2025,,Campo de Baixo,Concerto musical com Os Amigos do Cantar.,Música,Paróquia do Espírito Santo,,,Gratuito,5a0114c6-7706-4c07-ade6-9c37fde631a9,,,,,,,,,,,,,,,,,
22/07/2025 10:32,pxopulse+ocr@gmail.com,Arraial SSS - Concerto de Carina Teixeira,26/7/2025,23:00,26/7/2025,,Campo de Baixo,Concerto musical com Carina Teixeira.,Música,Paróquia do Espírito Santo,,,Gratuito,5a0114c6-7706-4c07-ade6-9c37fde631a9,,,,,,,,,,,,,,,,,
22/07/2025 10:32,pxopulse+ocr@gmail.com,Arraial SSS - Concerto de Paulo Jorge Melim,26/7/2025,23:45,26/7/2025,,Campo de Baixo,Concerto musical com Paulo Jorge Melim.,Música,Paróquia do Espírito Santo,,,Gratuito,5a0114c6-7706-4c07-ade6-9c37fde631a9,,,,,,,,,,,,,,,,,
22/07/2025 10:32,pxopulse+ocr@gmail.com,Arraial SSS - Missa Solene,27/7/2025,19:00,27/7/2025,,Capela do Espírito Santo,Missa Solene no âmbito das festividades do Arraial SSS.,Comunidade & Cultura,Paróquia do Espírito Santo,,,Gratuito,5a0114c6-7706-4c07-ade6-9c37fde631a9,,,,,,,,,,,,,,,,,
22/07/2025 10:32,pxopulse+ocr@gmail.com,Arraial SSS - Procissão,27/7/2025,20:00,27/7/2025,,Campo de Baixo,Procissão em honra do Espírito Santo.,Comunidade & Cultura,Paróquia do Espírito Santo,,,Gratuito,5a0114c6-7706-4c07-ade6-9c37fde631a9,,,,,,,,,,,,,,,,,
22/07/2025 10:32,pxopulse+ocr@gmail.com,Arraial SSS - Atuação da Banda Filarmónica da Casa Povo Porto Santo,27/7/2025,21:00,27/7/2025,,Campo de Baixo,Atuação musical da Banda Filarmónica da Casa Povo Porto Santo.,Música,Paróquia do Espírito Santo,,,Gratuito,5a0114c6-7706-4c07-ade6-9c37fde631a9,,,,,,,,,,,,,,,,,
22/07/2025 10:32,pxopulse+ocr@gmail.com,Arraial SSS - Atuação do Grupo de Cordas da Fajã da Ovelha,27/7/2025,21:30,27/7/2025,,Campo de Baixo,Atuação musical do Grupo de Cordas da Fajã da Ovelha.,Música,Paróquia do Espírito Santo,,,Gratuito,5a0114c6-7706-4c07-ade6-9c37fde631a9,,,,,,,,,,,,,,,,,
22/07/2025 10:32,pxopulse+ocr@gmail.com,Arraial SSS - Concerto de Marcial,27/7/2025,22:30,27/7/2025,,Campo de Baixo,Concerto musical com Marcial.,Música,Paróquia do Espírito Santo,,,Gratuito,5a0114c6-7706-4c07-ade6-9c37fde631a9,,,,,,,,,,,,,,,,,
31/07/2025 07:33,pxopulse+ocr@gmail.com,Banho da Lua Cheia,9/8/2025,19:00,10/8/2025,02:00,"Pé na Água, Porto Santo","Evento que inclui defumação às 19:00, banho às 21:00, DJ a partir das 21:45, atuação de Ana Ritta às 23:00, e fogo de artifício com DJ à meia-noite (24:00). O encerramento está previsto para as 02:00 da manhã seguinte. É recomendado trazer roupa branca e uma rosa branca.",Comunidade & Cultura,Desconhecido,,,Desconhecido,d7755647-df53-408b-baee-20a002ac08c5,,,,,,,,,,,,,,,,,
01/08/2025 07:22,pxopulse+ocr@gmail.com,Akoustic Junkies,1/8/2025,22:00,1/8/2025,,Largo das Palmeiras,Atuação musical ao vivo de Akoustic Junkies.,Música,Município do Porto Santo,,,Desconhecido,97b0ec7b-b596-4032-9f15-be77d484c0d6,,,,,,,,,,,,,,,,,
01/08/2025 07:22,pxopulse+ocr@gmail.com,Festa do Espírito Santo,2/8/2025,,3/8/2025,,"Igreja do Espírito Santo, Sítio do Campo de Baixo","Festa Religiosa em honra do Espírito Santo, com celebrações na igreja local.",Comunidade & Cultura,PARÓQUIAS DO PORTO SANTO,,,Desconhecido,97b0ec7b-b596-4032-9f15-be77d484c0d6,,,,,,,,,,,,,,,,,
01/08/2025 07:22,pxopulse+ocr@gmail.com,A Ilha e a Menina,3/8/2025,21:00,3/8/2025,,Foyer do Centro Cultural e de Congressos (CCC),"Inauguração da exposição de arte 'A Ilha e a Menina', um evento cultural imperdível.",Arte,CCC DO PORTO SANTO,,,Desconhecido,97b0ec7b-b596-4032-9f15-be77d484c0d6,,,,,,,,,,,,,,,,,
01/08/2025 07:22,pxopulse+ocr@gmail.com,Catarina Melim,6/8/2025,22:00,6/8/2025,,Largo das Palmeiras,Atuação musical ao vivo da artista Catarina Melim.,Música,Município do Porto Santo,,,Desconhecido,97b0ec7b-b596-4032-9f15-be77d484c0d6,,,,,,,,,,,,,,,,,
01/08/2025 07:22,pxopulse+ocr@gmail.com,O Canto do Meiro,6/8/2025,18:30,6/8/2025,,Auditório da Câmara Municipal,"Apresentação do Livro ""O Canto do Meiro - A Vida do Padre José Martins Júnior"". Um evento literário.",Comunidade & Cultura,BERTRAND EDITORA,,,Desconhecido,97b0ec7b-b596-4032-9f15-be77d484c0d6,,,,,,,,,,,,,,,,,
01/08/2025 07:22,pxopulse+ocr@gmail.com,Mariza,7/8/2025,22:00,7/8/2025,,Largo das Palmeiras,Atuação musical ao vivo da renomada artista Mariza.,Música,Município do Porto Santo,,,Desconhecido,97b0ec7b-b596-4032-9f15-be77d484c0d6,,,,,,,,,,,,,,,,,
01/08/2025 07:22,pxopulse+ocr@gmail.com,Dia da Cidade,7/8/2025,18:00,7/8/2025,,Auditório da Câmara Municipal,"Comemorações do 29.º aniversário da elevação do Porto Santo à Cidade, com atividades diversas.",Comunidade & Cultura,CMPS,,,Desconhecido,97b0ec7b-b596-4032-9f15-be77d484c0d6,,,,,,,,,,,,,,,,,
01/08/2025 07:22,pxopulse+ocr@gmail.com,Miguel Gameiro & Pólo Norte,8/8/2025,,8/8/2025,,Praça do Barqueiro,Concerto de música ao vivo com Miguel Gameiro & Pólo Norte.,Música,Município do Porto Santo,,,Desconhecido,97b0ec7b-b596-4032-9f15-be77d484c0d6,,,,,,,,,,,,,,,,,
01/08/2025 07:22,pxopulse+ocr@gmail.com,Cordophonia Tiago Nacarato,10/8/2025,,10/8/2025,,Praça do Barqueiro,Concerto de música ao vivo com Cordophonia e Tiago Nacarato.,Música,Município do Porto Santo,,,Desconhecido,97b0ec7b-b596-4032-9f15-be77d484c0d6,,,,,,,,,,,,,,,,,
01/08/2025 07:22,pxopulse+ocr@gmail.com,Festa NS Graça,14/8/2025,,16/8/2025,,Capela com o mesmo nome,"Festa religiosa em honra de Nossa Senhora da Graça, com missa e procissão.",Comunidade & Cultura,PARÓQUIAS DO PORTO SANTO,,,Gratuito,363eee97-b7e2-4713-9745-7e375734c30f,,,,,,,,,,,,,,,,,
01/08/2025 07:22,pxopulse+ocr@gmail.com,Torneio Solidário,16/8/2025,08:30,16/8/2025,,Campo de Golfe,"Torneio de Golfe, com shotgun às 08:30h, organizado pela Delegação da Madeira da Liga Portuguesa Contra o Cancro para angariação de fundos.",Desporto,LIGA PORTUGUESA CONTRA O CANCRO,,,Desconhecido,feb835f0-2362-4bd2-8696-470d15230b2b,,,,,,,,,,,,,,,,,
01/08/2025 07:22,pxopulse+ocr@gmail.com,Festa das Vindimas,22/8/2025,21:30,22/8/2025,,Largo das Palmeiras,"Celebração da tradição vitivinícola com destaque para a produção de uvas e vinhos, demonstração da repisa da uva, provas de mosto e vinho, e animação musical para todos.",Comida,CMPS,,,Gratuito,3ae21a5e-a6d6-4d5c-aee3-9922163c3eb7,,,,,,,,,,,,,,,,,
01/08/2025 07:22,pxopulse+ocr@gmail.com,Encontro de Folclore,23/8/2025,21:30,23/8/2025,,Praça do Barqueiro,"Realização do XXI Encontro de Folclore do Porto Santo - IX Internacional, com danças e músicas tradicionais.",Comunidade & Cultura,JUNTA DE FREGUESIA E GRUPO DE FOLCLORE,,,Desconhecido,2adb8b87-c499-451b-b7a9-b9dfc25e3854,,,,,,,,,,,,,,,,,
01/08/2025 07:22,pxopulse+ocr@gmail.com,Festa NS da Piedade,30/8/2025,,31/8/2025,,Igreja de Nossa Senhora da Piedade,"Festa Religiosa em honra de Nossa Senhora da Piedade, com procissão e celebrações na Igreja Matriz.",Comunidade & Cultura,PARÓQUIAS DO PORTO SANTO,,,Gratuito,e9dfddd0-065e-4754-963c-55c487de3f76,,,,,,,,,,,,,,,,,
03/08/2025 12:22,pxopulse+ocr@gmail.com,Festa de Inauguração House Night & Life,8/8/2025,22:00,9/8/2025,06:00,Sítio do Campo de Cima - Pizzeria Colombo,"Festa de inauguração do House Night & Life, o teu novo espaço de dança.",Música,Desconhecido,,,Desconhecido,e9dfddd0-065e-4754-963c-55c487de3f76,,,,,,,,,,,,,,,,,
04/08/2025 07:06,pxopulse+ocr@gmail.com,OVERULE,4/8/2025,01:00,4/8/2025,07:00,Discoteca Challenger Club,"Início do evento às 01:00. Mulheres: Entrada livre até às 02:00. Após as 02:00, entrada a 5€ com 1 bebida. Homens: Entrada a 5€ com 1 bebida até às 02:00. Após as 02:00, entrada a 10€ com 2 bebidas. Com a presença de DJ OVERULE e DJ residente Américo Nunez.",Música,Discoteca Challenger Club,,,Pago,2cdef807-72f6-4d87-ad63-330ffb7bf6dd,,,,,,,,,,,,,,,,,
04/08/2025 07:08,pxopulse+ocr@gmail.com,36º Aniversário Challenger Club,5/8/2025,01:00,5/8/2025,07:00,Discoteca Challenger Club,"Celebração do 36º aniversário da Discoteca Challenger Club. 01:00 - Abertura do evento. Mulheres: Entrada gratuita até às 02:00. A partir das 02:00, entrada 5€ com 1 bebida. Homens: Até às 02:00, entrada 5€ com 1 bebida. A partir das 02:00, entrada 10€ com 2 bebidas. Com DJ Residente Américo Nunez (presente de 2 a 16 de agosto). A dançar desde 1989.",Música,Discoteca Challenger Club,,,Pago,05d32796-cc83-47ec-9d36-0ef64a4d00a8,,,,,,,,,,,,,,,,,
04/08/2025 07:11,pxopulse+ocr@gmail.com,DJ Pedro Pestana,6/8/2025,01:00,6/8/2025,07:00,Discoteca Challenger Club,"Este evento conta com DJ Pedro Pestana. Entrada: Mulheres têm entrada livre até às 02:00. A partir daí, a entrada é de 5€ com 1 bebida. Homens pagam 5€ com 1 bebida até às 02:00. Após as 02:00, a entrada é de 10€ com 2 bebidas. Amériko Nunez é o DJ residente de 2 a 16 de agosto.",Música,Discoteca Challenger Club,,,Pago,5e65ac51-979f-47ae-bf6a-235bfc423c1c,,,,,,,,,,,,,,,,,
04/08/2025 07:12,pxopulse+ocr@gmail.com,Festa da Espuma,7/8/2025,01:00,7/8/2025,07:00,Discoteca Challenger Club [OUTDOOR],"01:00 - Abertura do evento. Mulheres: entrada livre. Homens: entrada a 5€ com 1 bebida. 02:00 - Alteração de preços para entrada: Mulheres 5€ com 1 bebida, Homens 10€ com 2 bebidas. 06:00 - Início da festa da espuma. DJ Residente Ameriko Nunez estará a tocar. Evento outdoor. Beba com moderação.",Música,Discoteca Challenger Club,,,Pago,5aad1776-f9fd-4210-b09a-702a722c925f,,,,,,,,,,,,,,,,,
04/08/2025 07:13,pxopulse+ocr@gmail.com,Glow Party,8/8/2025,01:00,8/8/2025,07:00,Discoteca Challenger Club,"Mulheres: entrada livre até às 02:00. A partir daí, entrada a 5€ com 1 bebida. Homens: até às 02:00, entrada a 5€ com 1 bebida. Após, entrada a 10€ com 2 bebidas. Com Joana Margarida Makeup Artist. Oferta de brindes e pinturas faciais. Música com DJ Residente Amériko Nunez.",Música,Discoteca Challenger Club,,,Pago,22241da6-1880-4b42-aab8-ee4eebb20e2e,,,,,,,,,,,,,,,,,
04/08/2025 07:14,pxopulse+ocr@gmail.com,Tony F na Discoteca Challenger Club,9/8/2025,01:00,9/8/2025,07:00,Discoteca Challenger Club,"DJ Set de Tony F. Com a presença do DJ Residente Amériko Nunez (de 2 a 16 de agosto). Mulheres: Entrada livre até às 02:00. Após as 02:00, entrada a 5€ com 1 bebida. Homens: Até às 02:00, entrada a 5€ com 1 bebida. Após as 02:00, entrada a 10€ com 2 bebidas.",Música,Discoteca Challenger Club,,,Pago,a0f7bb98-412e-4cf3-95c0-5ec20d50169a,,,,,,,,,,,,,,,,,
04/08/2025 07:17,pxopulse+ocr@gmail.com,Amériko Nunez na Discoteca Challenger Club,10/8/2025,01:00,10/8/2025,07:00,Discoteca Challenger Club,"Happy Hour Shots: Das 01h00 às 03h00, compre 1 e leve 2. Mulheres: Entrada livre até às 02h00, depois entrada a 5€ com 1 bebida. Homens: Até às 02h00, entrada a 5€ com 1 bebida, depois entrada a 10€ com 2 bebidas. DJ Residente: Amériko Nunez.",Música,Discoteca Challenger Club,,,Pago,a7705aca-cf68-4dd0-8df8-f1ef32ce2e4d,,,,,,,,,,,,,,,,,
04/08/2025 07:17,pxopulse+ocr@gmail.com,Festa da Espuma,11/8/2025,01:00,11/8/2025,07:00,Discoteca Challenger Club,01:00 - Abertura do evento. Mulheres: entrada livre. Homens: entrada a 5€ com 1 bebida. 02:00 - Mulheres: entrada a 5€ com 1 bebida. Homens: entrada a 10€ com 2 bebidas. 06:00 - Largada da espuma na área exterior. DJ residente: Américo Nunez (presente de 2 a 16 de agosto).,Música,Discoteca Challenger Club,,,Pago,df9b3235-cc31-4efa-b882-f5d3cf82cc99,,,,,,,,,,,,,,,,,
04/08/2025 07:18,pxopulse+ocr@gmail.com,LED PARTY,12/8/2025,01:00,12/8/2025,07:00,Discoteca Challenger Club,"Oferta de stick luminoso aos primeiros 250 clientes pagantes. Mulheres: entrada livre até às 02:00. A partir daí, entrada a 5€ com 1 bebida. Homens: até às 02:00, entrada a 5€ com 1 bebida. Após as 02:00, entrada a 10€ com 2 bebidas. Com DJ Residente Amériko Nunez.",Música,Discoteca Challenger Club,,,Pago,9b85dd5d-310c-4a73-8395-c2655343933f,,,,,,,,,,,,,,,,,
04/08/2025 07:20,pxopulse+ocr@gmail.com,Summer of Funk,13/8/2025,01:00,13/8/2025,07:00,Discoteca Challenger Club,"Evento 'Summer of Funk' com DJ residente Amériko Nunez. Condições de entrada: Mulheres têm entrada livre até às 02:00; após essa hora, a entrada é 5€ com 1 bebida. Homens pagam 5€ com 1 bebida até às 02:00; após, a entrada é 10€ com 2 bebidas. Seja responsável, beba com moderação.",Música,Discoteca Challenger Club,,,Pago,c7fbcb75-40a6-4489-a632-512008f79640,,,,,,,,,,,,,,,,,
04/08/2025 07:20,pxopulse+ocr@gmail.com,Summer of Funk,14/8/2025,01:00,14/8/2025,07:00,Discoteca Challenger Club,"Evento 'Summer of Funk' com DJ residente Amériko Nunez. Condições de entrada: Mulheres têm entrada livre até às 02:00; após essa hora, a entrada é 5€ com 1 bebida. Homens pagam 5€ com 1 bebida até às 02:00; após, a entrada é 10€ com 2 bebidas. Seja responsável, beba com moderação.",Música,Discoteca Challenger Club,,,Pago,c7fbcb75-40a6-4489-a632-512008f79640,,,,,,,,,,,,,,,,,
04/08/2025 07:20,pxopulse+ocr@gmail.com,Summer of Funk,15/8/2025,01:00,15/8/2025,07:00,Discoteca Challenger Club,"Evento 'Summer of Funk' com DJ residente Amériko Nunez. Condições de entrada: Mulheres têm entrada livre até às 02:00; após essa hora, a entrada é 5€ com 1 bebida. Homens pagam 5€ com 1 bebida até às 02:00; após, a entrada é 10€ com 2 bebidas. Seja responsável, beba com moderação.",Música,Discoteca Challenger Club,,,Pago,c7fbcb75-40a6-4489-a632-512008f79640,,,,,,,,,,,,,,,,,
04/08/2025 07:21,pxopulse+ocr@gmail.com,Verão Total,16/8/2025,01:00,16/8/2025,07:00,Discoteca Challenger Club,"A partir das 01:00, o evento Verão Total com DJ Amériko Nunez. Condições de entrada: Mulheres: Entrada livre até às 02:00, depois 5€ com 1 bebida. Homens: Até às 02:00, entrada a 5€ com 1 bebida, depois 10€ com 2 bebidas.",Música,Discoteca Challenger Club,,,Pago,d100b28b-b163-4507-891d-5f366f3b1ab0,,,,,,,,,,,,,,,,,
04/08/2025 07:22,pxopulse+ocr@gmail.com,Metamorfose: The After Party,17/8/2025,01:00,17/8/2025,07:00,Discoteca Challenger Club,"Evento 'Metamorfose: The After Party' na Discoteca Challenger Club, com Zike, Resmas e Cheshire. Mulheres têm entrada livre até às 02:00. Após as 02:00, a entrada para mulheres é 5€ com 1 bebida. Homens pagam 5€ com 1 bebida até às 02:00. Após as 02:00, a entrada para homens é 10€ com 2 bebidas.",Música,Discoteca Challenger Club,,,Pago,b78ee74d-4654-4d62-889a-26b46c3bcdcd,,,,,,,,,,,,,,,,,
04/08/2025 07:23,pxopulse+ocr@gmail.com,M. DA SILVA WEEKEND,22/8/2025,01:00,22/8/2025,07:00,Discoteca Challenger Club,"Mulheres: Entrada livre até às 02:00. A partir daí, entrada a 5€ com 1 bebida. Homens: Até às 02:00, entrada a 5€ com 1 bebida. Após as 02:00, entrada a 10€ com 2 bebidas.",Música,Discoteca Challenger Club,,,Pago,e0307647-57c6-4dc3-94c9-6692abfddfe0,,,,,,,,,,,,,,,,,
04/08/2025 07:23,pxopulse+ocr@gmail.com,M. DA SILVA WEEKEND,23/8/2025,01:00,23/8/2025,07:00,Discoteca Challenger Club,"Mulheres: Entrada livre até às 02:00. A partir daí, entrada a 5€ com 1 bebida. Homens: Até às 02:00, entrada a 5€ com 1 bebida. Após as 02:00, entrada a 10€ com 2 bebidas.",Música,Discoteca Challenger Club,,,Pago,e0307647-57c6-4dc3-94c9-6692abfddfe0,,,,,,,,,,,,,,,,,
05/08/2025 09:00,pxopulse+ocr@gmail.com,Festa da Sidra Com DJ Pedro Pestana e Brigada Mão Gelada,6/8/2025,16:30,6/8/2025,20:30,Pé na Água Restaurante & Beach Bar,Com DJ Pedro Pestana e Brigada Mão Gelada. Oferta de brindes.,Música,Pé na Água Restaurante & Beach Bar,,,Desconhecido,dfef6eaa-ebe7-4af5-bcdd-cc42588b6d76,,,,,,,,,,,,,,,,,
05/08/2025 09:00,pxopulse+ocr@gmail.com,DJ Sil,10/8/2025,16:30,10/8/2025,20:30,Pé na Água Restaurante & Beach Bar,"Com DJ Sil, powered by Rocim. Oferta de brindes.",Música,Pé na Água Restaurante & Beach Bar,,,Desconhecido,dfef6eaa-ebe7-4af5-bcdd-cc42588b6d76,,,,,,,,,,,,,,,,,
05/08/2025 09:00,pxopulse+ocr@gmail.com,#Sunsessions Com DJ Sil,13/8/2025,16:30,13/8/2025,20:30,Pé na Água Restaurante & Beach Bar,Com DJ Sil.,Música,Pé na Água Restaurante & Beach Bar,,,Desconhecido,dfef6eaa-ebe7-4af5-bcdd-cc42588b6d76,,,,,,,,,,,,,,,,,
05/08/2025 09:00,pxopulse+ocr@gmail.com,Festa da Coral Com Ameriko Nunez,16/8/2025,16:30,16/8/2025,20:30,Pé na Água Restaurante & Beach Bar,Com Ameriko Nunez. Oferta de brindes.,Música,Pé na Água Restaurante & Beach Bar,,,Desconhecido,dfef6eaa-ebe7-4af5-bcdd-cc42588b6d76,,,,,,,,,,,,,,,,,
05/08/2025 09:00,pxopulse+ocr@gmail.com,#Sunsessions Com M da Silva,17/8/2025,16:30,17/8/2025,20:30,Pé na Água Restaurante & Beach Bar,Com M da Silva.,Música,Pé na Água Restaurante & Beach Bar,,,Desconhecido,dfef6eaa-ebe7-4af5-bcdd-cc42588b6d76,,,,,,,,,,,,,,,,,
05/08/2025 09:00,pxopulse+ocr@gmail.com,#Sunsessions Com DJ Michael,20/8/2025,16:30,20/8/2025,20:30,Pé na Água Restaurante & Beach Bar,Com DJ Michael.,Música,Pé na Água Restaurante & Beach Bar,,,Desconhecido,dfef6eaa-ebe7-4af5-bcdd-cc42588b6d76,,,,,,,,,,,,,,,,,
05/08/2025 09:00,pxopulse+ocr@gmail.com,#Sunsessions Com DJ Kali,24/8/2025,16:30,24/8/2025,20:30,Pé na Água Restaurante & Beach Bar,Com DJ Kali.,Música,Pé na Água Restaurante & Beach Bar,,,Desconhecido,dfef6eaa-ebe7-4af5-bcdd-cc42588b6d76,,,,,,,,,,,,,,,,,
